Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,No,Travel_Rarely,422,Research & Development,7 years ,3,Life Sciences,549,Low,Female,41,High,Director Level,Manager,Low,Married,19566,5,No,11,Stanadard,Very High,80,0,33 years ,Bad,29,8,11,10
46,No,Travel_Rarely,1485,Research & Development,18 years ,3,Medical,550,High,Female,87,High,Junior Level,Manufacturing Director,High,Divorced,4810,2,No,14,Stanadard,High,80,1,19 years ,Good,10,7,0,8
42,No,Travel_Frequently,1368,Research & Development,28 years ,4,Technical Degree,551,Very High,Female,88,Medium,Junior Level,Healthcare Representative,Very High,Married,4523,0,No,11,Stanadard,Very High,80,3,7 years ,Best,6,5,0,4
24,Yes,Travel_Rarely,1448,Sales,1 years ,1,Technical Degree,554,Low,Female,62,High,Entry Level,Sales Representative,Medium,Single,3202,1,Yes,16,Stanadard,Medium,80,0,6 years ,Better,5,3,1,4
34,Yes,Travel_Frequently,296,Sales,6 years ,2,Marketing,555,Very High,Female,33,Low,Entry Level,Sales Representative,High,Divorced,2351,0,No,16,Stanadard,Very High,80,1,3 years ,Good,2,2,1,0
38,No,Travel_Frequently,1490,Research & Development,2 years ,2,Life Sciences,556,Very High,Male,42,High,Entry Level,Laboratory Technician,Very High,Married,1702,1,Yes,23,High,High,80,1,1 years ,Better,1,0,0,0
40,No,Travel_Rarely,1398,Sales,2 years ,4,Life Sciences,558,High,Female,79,High,Director Level,Manager,High,Married,18041,0,No,14,Stanadard,Very High,80,0,21 years ,Better,20,15,1,12
26,No,Travel_Rarely,1349,Research & Development,23 years ,3,Life Sciences,560,Low,Female,90,High,Entry Level,Research Scientist,Very High,Divorced,2886,1,No,22,High,Medium,80,2,3 years ,Bad,3,2,0,2
30,No,Non-Travel,1400,Research & Development,3 years ,3,Life Sciences,562,High,Male,53,High,Entry Level,Laboratory Technician,Very High,Married,2097,4,No,15,Stanadard,High,80,1,9 years ,Bad,5,3,1,4
29,No,Travel_Rarely,986,Research & Development,3 years ,4,Medical,564,Medium,Male,93,Medium,Senior Level,Research Director,High,Married,11935,1,No,18,Stanadard,High,80,0,10 years ,Better,10,2,0,7
29,Yes,Travel_Rarely,408,Research & Development,25 years ,5,Technical Degree,565,High,Female,71,Medium,Entry Level,Research Scientist,Medium,Married,2546,5,No,16,Stanadard,Medium,80,0,6 years ,Best,2,2,1,1
19,Yes,Travel_Rarely,489,Human Resources,2 years ,2,Technical Degree,566,Low,Male,52,Medium,Entry Level,Human Resources,Very High,Single,2564,1,No,12,Stanadard,High,80,0,1 years ,Best,1,0,0,0
30,No,Non-Travel,1398,Sales,22 years ,4,Other,567,High,Female,69,High,Senior Level,Sales Executive,Low,Married,8412,0,No,11,Stanadard,High,80,0,10 years ,Better,9,8,7,8
57,No,Travel_Rarely,210,Sales,29 years ,3,Marketing,568,Low,Male,56,Medium,Lead Level,Manager,Very High,Divorced,14118,3,No,12,Stanadard,High,80,1,32 years ,Good,1,0,0,0
50,No,Travel_Rarely,1099,Research & Development,29 years ,4,Life Sciences,569,Medium,Male,88,Medium,Lead Level,Manager,High,Married,17046,0,No,15,Stanadard,Medium,80,1,28 years ,Better,27,10,15,7
30,No,Non-Travel,1116,Research & Development,2 years ,3,Medical,571,High,Female,49,High,Entry Level,Laboratory Technician,Very High,Single,2564,0,No,14,Stanadard,High,80,0,12 years ,Good,11,7,6,7
60,No,Travel_Frequently,1499,Sales,28 years ,3,Marketing,573,High,Female,80,Medium,Senior Level,Sales Executive,Low,Married,10266,4,No,19,Stanadard,Very High,80,0,22 years ,Best,18,13,13,11
47,No,Travel_Rarely,983,Research & Development,2 years ,2,Medical,574,Low,Female,65,High,Junior Level,Manufacturing Director,Very High,Divorced,5070,5,No,13,Stanadard,High,80,3,20 years ,Better,5,0,0,4
46,No,Travel_Rarely,1009,Research & Development,2 years ,3,Life Sciences,575,Low,Male,51,High,Lead Level,Research Director,High,Married,17861,6,No,13,Stanadard,High,80,0,26 years ,Bad,3,2,0,1
35,No,Travel_Rarely,144,Research & Development,22 years ,3,Life Sciences,577,Very High,Male,46,Low,Entry Level,Laboratory Technician,High,Single,4230,0,No,15,Stanadard,High,80,0,6 years ,Better,5,4,4,3
54,No,Travel_Rarely,548,Research & Development,8 years ,4,Life Sciences,578,High,Female,42,High,Junior Level,Laboratory Technician,High,Single,3780,7,No,11,Stanadard,High,80,0,19 years ,Better,1,0,0,0
34,No,Travel_Rarely,1303,Research & Development,2 years ,4,Life Sciences,579,Very High,Male,62,Medium,Entry Level,Research Scientist,High,Divorced,2768,3,No,12,Stanadard,High,80,1,14 years ,Better,7,3,5,7
46,No,Travel_Rarely,1125,Sales,10 years ,3,Marketing,580,High,Female,94,Medium,Senior Level,Sales Executive,Very High,Married,9071,2,Yes,19,Stanadard,High,80,1,15 years ,Better,3,2,1,2
31,No,Travel_Rarely,1274,Research & Development,9 years ,1,Life Sciences,581,High,Male,33,High,Senior Level,Manufacturing Director,Medium,Divorced,10648,1,No,25,High,Very High,80,1,13 years ,Best,13,8,0,8
33,Yes,Travel_Rarely,1277,Research & Development,15 years ,1,Medical,582,Medium,Male,56,High,Senior Level,Manager,High,Married,13610,7,Yes,12,Stanadard,Very High,80,0,15 years ,Best,7,6,7,7
33,Yes,Travel_Rarely,587,Research & Development,10 years ,1,Medical,584,Low,Male,38,Low,Entry Level,Laboratory Technician,Very High,Divorced,3408,7,No,13,Stanadard,Low,80,3,8 years ,Better,4,3,1,3
30,No,Travel_Rarely,413,Sales,7 years ,1,Marketing,585,Very High,Male,57,High,Entry Level,Sales Representative,Medium,Single,2983,0,No,14,Stanadard,Low,80,0,4 years ,Better,3,2,1,2
35,No,Travel_Rarely,1276,Research & Development,16 years ,3,Life Sciences,586,Very High,Male,72,High,Senior Level,Healthcare Representative,High,Married,7632,4,Yes,12,Stanadard,High,80,0,10 years ,Better,8,7,0,0
31,Yes,Travel_Frequently,534,Research & Development,20 years ,3,Life Sciences,587,Low,Male,66,High,Senior Level,Healthcare Representative,High,Married,9824,3,No,12,Stanadard,Low,80,0,12 years ,Better,1,0,0,0
34,Yes,Travel_Frequently,988,Human Resources,23 years ,3,Human Resources,590,Medium,Female,43,High,Senior Level,Human Resources,Low,Divorced,9950,9,Yes,15,Stanadard,High,80,3,11 years ,Better,3,2,0,2
42,No,Travel_Frequently,1474,Research & Development,5 years ,2,Other,591,Medium,Male,97,High,Entry Level,Laboratory Technician,High,Married,2093,4,No,17,Stanadard,Very High,80,1,8 years ,Better,2,2,2,0
36,No,Non-Travel,635,Sales,10 years ,4,Medical,592,Medium,Male,32,High,Senior Level,Sales Executive,Very High,Single,9980,1,No,14,Stanadard,Very High,80,0,10 years ,Good,10,3,9,7
22,Yes,Travel_Frequently,1368,Research & Development,4 years ,1,Technical Degree,593,High,Male,99,Medium,Entry Level,Laboratory Technician,High,Single,3894,5,No,16,Stanadard,High,80,0,4 years ,Better,2,2,1,2
48,No,Travel_Rarely,163,Sales,2 years ,5,Marketing,595,Medium,Female,37,High,Junior Level,Sales Executive,Very High,Married,4051,2,No,14,Stanadard,Low,80,1,14 years ,Better,9,7,6,7
55,No,Travel_Rarely,1117,Sales,18 years ,5,Life Sciences,597,Low,Female,83,High,Lead Level,Manager,Medium,Single,16835,3,No,23,High,Very High,80,0,37 years ,Better,10,9,7,7
41,No,Non-Travel,267,Sales,10 years ,2,Life Sciences,599,Very High,Male,56,High,Junior Level,Sales Executive,Very High,Single,6230,7,No,14,Stanadard,Very High,80,0,16 years ,Better,14,3,1,10
35,No,Travel_Rarely,619,Sales,1 years ,3,Marketing,600,Medium,Male,85,High,Junior Level,Sales Executive,High,Married,4717,9,No,11,Stanadard,High,80,0,15 years ,Better,11,9,6,9
40,No,Travel_Rarely,302,Research & Development,6 years ,3,Life Sciences,601,Medium,Female,75,High,Lead Level,Manufacturing Director,High,Single,13237,7,No,15,Stanadard,High,80,0,22 years ,Better,20,6,5,13
39,No,Travel_Frequently,443,Research & Development,8 years ,1,Life Sciences,602,High,Female,48,High,Entry Level,Laboratory Technician,High,Married,3755,1,No,11,Stanadard,Low,80,1,8 years ,Better,8,3,0,7
31,No,Travel_Rarely,828,Sales,2 years ,1,Life Sciences,604,Medium,Male,77,High,Junior Level,Sales Executive,Very High,Single,6582,4,Yes,13,Stanadard,High,80,0,10 years ,Best,6,5,0,5
42,No,Travel_Rarely,319,Research & Development,24 years ,3,Medical,605,Very High,Male,56,High,Senior Level,Manufacturing Director,Low,Married,7406,1,Yes,21,High,Very High,80,1,10 years ,Good,10,9,5,8
45,No,Travel_Rarely,561,Sales,2 years ,3,Other,606,Very High,Male,61,High,Junior Level,Sales Executive,Medium,Married,4805,0,No,19,Stanadard,Medium,80,1,9 years ,Best,8,7,3,7
26,Yes,Travel_Frequently,426,Human Resources,17 years ,4,Life Sciences,608,Medium,Female,58,High,Entry Level,Human Resources,High,Divorced,2741,0,Yes,11,Stanadard,Medium,80,1,8 years ,Good,7,7,1,0
29,No,Travel_Rarely,232,Research & Development,19 years ,3,Technical Degree,611,Very High,Male,34,High,Junior Level,Manufacturing Director,Very High,Divorced,4262,4,No,12,Stanadard,Medium,80,2,8 years ,Best,3,2,1,2
33,No,Travel_Rarely,922,Research & Development,1 years ,5,Medical,612,Low,Female,95,Very High,Lead Level,Research Director,High,Divorced,16184,4,No,19,Stanadard,High,80,1,10 years ,Better,6,1,0,5
31,No,Travel_Rarely,688,Sales,7 years ,3,Life Sciences,613,High,Male,44,Medium,Senior Level,Manager,Very High,Divorced,11557,9,No,21,High,High,80,1,10 years ,Good,5,4,0,1
18,Yes,Travel_Frequently,1306,Sales,5 years ,3,Marketing,614,Medium,Male,69,High,Entry Level,Sales Representative,Medium,Single,1878,1,Yes,14,Stanadard,Very High,80,0,0 years ,Better,0,0,0,0
40,No,Non-Travel,1094,Sales,28 years ,3,Other,615,High,Male,58,Low,Senior Level,Sales Executive,Low,Divorced,10932,3,No,15,Stanadard,High,80,1,20 years ,Better,1,0,0,1
41,No,Non-Travel,509,Research & Development,2 years ,4,Other,616,Low,Female,62,Medium,Junior Level,Healthcare Representative,High,Single,6811,2,Yes,17,Stanadard,Low,80,0,10 years ,Better,8,7,0,7
26,No,Travel_Rarely,775,Sales,29 years ,2,Medical,618,Low,Male,45,High,Junior Level,Sales Executive,High,Divorced,4306,5,No,12,Stanadard,Low,80,2,8 years ,Better,0,0,0,0
35,No,Travel_Rarely,195,Sales,1 years ,3,Medical,620,Low,Female,80,High,Junior Level,Sales Executive,High,Single,4859,1,No,16,Stanadard,Very High,80,0,5 years ,Better,5,4,0,3
34,No,Travel_Rarely,258,Sales,21 years ,4,Life Sciences,621,Very High,Male,74,Very High,Junior Level,Sales Executive,Very High,Single,5337,1,No,12,Stanadard,Very High,80,0,10 years ,Better,10,7,5,7
26,Yes,Travel_Rarely,471,Research & Development,24 years ,3,Technical Degree,622,High,Male,66,Low,Entry Level,Laboratory Technician,Very High,Single,2340,1,Yes,18,Stanadard,Medium,80,0,1 years ,Bad,1,0,0,0
37,No,Travel_Rarely,799,Research & Development,1 years ,3,Technical Degree,623,Medium,Female,59,High,Senior Level,Manufacturing Director,Very High,Single,7491,4,No,17,Stanadard,Very High,80,0,12 years ,Best,6,5,1,2
46,No,Travel_Frequently,1034,Research & Development,18 years ,1,Medical,624,Low,Female,86,High,Senior Level,Healthcare Representative,High,Married,10527,5,No,11,Stanadard,Very High,80,0,28 years ,Good,2,2,1,2
41,No,Travel_Rarely,1276,Sales,2 years ,5,Life Sciences,625,Medium,Female,91,High,Lead Level,Manager,Low,Married,16595,7,No,16,Stanadard,Medium,80,1,22 years ,Better,18,16,11,8
37,No,Non-Travel,142,Sales,9 years ,4,Medical,626,Low,Male,69,High,Senior Level,Sales Executive,Medium,Divorced,8834,1,No,13,Stanadard,Very High,80,1,9 years ,Better,9,5,7,7
52,No,Travel_Rarely,956,Research & Development,6 years ,2,Technical Degree,630,Very High,Male,78,High,Junior Level,Research Scientist,Low,Divorced,5577,3,Yes,12,Stanadard,Medium,80,2,18 years ,Better,10,9,6,9
32,Yes,Non-Travel,1474,Sales,11 years ,4,Other,631,Very High,Male,60,Very High,Junior Level,Sales Executive,High,Married,4707,8,No,12,Stanadard,Very High,80,0,6 years ,Better,4,2,1,2
24,No,Travel_Frequently,535,Sales,24 years ,3,Medical,632,Very High,Male,38,High,Entry Level,Sales Representative,Very High,Married,2400,0,No,13,Stanadard,High,80,2,3 years ,Better,2,2,2,1
38,No,Travel_Rarely,1495,Research & Development,10 years ,3,Medical,634,High,Female,76,High,Junior Level,Healthcare Representative,High,Married,9824,3,No,19,Stanadard,High,80,1,18 years ,Better,1,0,0,0
37,No,Travel_Rarely,446,Research & Development,1 years ,4,Life Sciences,635,Medium,Female,65,High,Junior Level,Manufacturing Director,Medium,Married,6447,6,No,12,Stanadard,Medium,80,1,8 years ,Good,6,5,4,3
49,No,Travel_Rarely,1245,Research & Development,18 years ,4,Life Sciences,638,Very High,Male,58,Medium,Director Level,Research Director,High,Divorced,19502,1,Yes,17,Stanadard,High,80,1,31 years ,Better,31,9,0,9
24,No,Travel_Rarely,691,Research & Development,23 years ,3,Medical,639,Medium,Male,89,Very High,Entry Level,Research Scientist,Very High,Married,2725,1,Yes,11,Stanadard,Medium,80,2,6 years ,Better,6,5,1,4
26,No,Travel_Rarely,703,Sales,28 years ,2,Marketing,641,Low,Male,66,High,Junior Level,Sales Executive,Medium,Married,6272,1,No,20,High,Very High,80,2,6 years ,Best,5,3,1,4
24,No,Travel_Rarely,823,Research & Development,17 years ,2,Other,643,Very High,Male,94,Medium,Entry Level,Laboratory Technician,Medium,Married,2127,1,No,21,High,Very High,80,1,1 years ,Better,1,0,0,0
50,No,Travel_Frequently,1246,Human Resources,3 years ,3,Medical,644,Low,Male,99,High,Director Level,Manager,Medium,Married,18200,1,No,11,Stanadard,High,80,1,32 years ,Better,32,5,10,7
25,No,Travel_Rarely,622,Sales,13 years ,1,Medical,645,Medium,Male,40,High,Entry Level,Sales Representative,High,Married,2096,1,No,11,Stanadard,High,80,0,7 years ,Better,7,4,0,6
24,Yes,Travel_Frequently,1287,Research & Development,7 years ,3,Life Sciences,647,Low,Female,55,High,Entry Level,Laboratory Technician,High,Married,2886,1,Yes,16,Stanadard,Very High,80,1,6 years ,Better,6,3,1,2
30,Yes,Travel_Frequently,448,Sales,12 years ,4,Life Sciences,648,Medium,Male,74,Medium,Entry Level,Sales Representative,Low,Married,2033,1,No,18,Stanadard,High,80,1,1 years ,Best,1,0,0,0
34,No,Travel_Rarely,254,Research & Development,1 years ,2,Life Sciences,649,Medium,Male,83,Medium,Entry Level,Research Scientist,Very High,Married,3622,1,Yes,13,Stanadard,Very High,80,1,6 years ,Better,6,5,1,3
31,Yes,Travel_Rarely,1365,Sales,13 years ,4,Medical,650,Medium,Male,46,High,Junior Level,Sales Executive,Low,Divorced,4233,2,No,17,Stanadard,High,80,0,9 years ,Bad,3,1,1,2
35,No,Travel_Rarely,538,Research & Development,25 years ,2,Other,652,Low,Male,54,Medium,Junior Level,Laboratory Technician,Very High,Single,3681,4,No,14,Stanadard,Very High,80,0,9 years ,Better,3,2,0,2
31,No,Travel_Rarely,525,Sales,6 years ,4,Medical,653,Low,Male,66,Very High,Junior Level,Sales Executive,Very High,Divorced,5460,4,No,22,High,Very High,80,2,13 years ,Best,7,7,5,7
27,No,Travel_Rarely,798,Research & Development,6 years ,4,Medical,655,Low,Female,66,Medium,Entry Level,Research Scientist,High,Divorced,2187,0,No,12,Stanadard,High,80,2,6 years ,Good,5,3,0,3
37,No,Travel_Rarely,558,Sales,2 years ,3,Marketing,656,Very High,Male,75,High,Junior Level,Sales Executive,High,Married,9602,4,Yes,11,Stanadard,High,80,1,17 years ,Good,3,0,1,0
20,No,Travel_Rarely,959,Research & Development,1 years ,3,Life Sciences,657,Very High,Female,83,Medium,Entry Level,Research Scientist,Medium,Single,2836,1,No,13,Stanadard,Very High,80,0,1 years ,Best,1,0,0,0
42,No,Travel_Rarely,622,Research & Development,2 years ,4,Life Sciences,659,High,Female,81,High,Junior Level,Healthcare Representative,Very High,Married,4089,1,No,13,Stanadard,Medium,80,2,10 years ,Better,10,2,2,2
43,No,Travel_Rarely,782,Research & Development,6 years ,4,Other,661,Medium,Male,50,Medium,Lead Level,Research Director,Very High,Divorced,16627,4,Yes,14,Stanadard,High,80,1,21 years ,Good,1,0,0,0
38,No,Travel_Rarely,362,Research & Development,1 years ,1,Life Sciences,662,High,Female,43,High,Entry Level,Research Scientist,Low,Single,2619,3,No,17,Stanadard,Very High,80,0,8 years ,Good,0,0,0,0
43,No,Travel_Frequently,1001,Research & Development,9 years ,5,Medical,663,Very High,Male,72,High,Junior Level,Laboratory Technician,High,Divorced,5679,3,Yes,13,Stanadard,Medium,80,1,10 years ,Better,8,7,4,7
48,No,Travel_Rarely,1236,Research & Development,1 years ,4,Life Sciences,664,Very High,Female,40,Medium,Lead Level,Manager,Low,Married,15402,7,No,11,Stanadard,Low,80,1,21 years ,Bad,3,2,0,2
44,No,Travel_Rarely,1112,Human Resources,1 years ,4,Life Sciences,665,Low,Female,50,Medium,Junior Level,Human Resources,High,Single,5985,4,No,11,Stanadard,Medium,80,0,10 years ,Best,2,2,0,2
34,No,Travel_Rarely,204,Sales,14 years ,3,Technical Degree,666,High,Female,31,High,Entry Level,Sales Representative,High,Divorced,2579,1,Yes,18,Stanadard,Very High,80,2,8 years ,Better,8,2,0,6
27,Yes,Travel_Rarely,1420,Sales,2 years ,1,Marketing,667,High,Male,85,High,Entry Level,Sales Representative,Low,Divorced,3041,0,No,11,Stanadard,Medium,80,1,5 years ,Better,4,3,0,2
21,No,Travel_Rarely,1343,Sales,22 years ,1,Technical Degree,669,High,Male,49,High,Entry Level,Sales Representative,High,Single,3447,1,No,11,Stanadard,High,80,0,3 years ,Better,3,2,1,2
44,No,Travel_Rarely,1315,Research & Development,3 years ,4,Other,671,Very High,Male,35,High,Director Level,Manager,Very High,Married,19513,4,Yes,12,Stanadard,Low,80,1,26 years ,Best,2,2,0,1
22,No,Travel_Rarely,604,Research & Development,6 years ,1,Medical,675,Low,Male,69,High,Entry Level,Research Scientist,High,Married,2773,0,No,20,High,Very High,80,0,3 years ,Better,2,2,2,2
33,No,Travel_Rarely,1216,Sales,8 years ,4,Marketing,677,High,Male,39,High,Junior Level,Sales Executive,High,Divorced,7104,0,No,12,Stanadard,Very High,80,0,6 years ,Better,5,0,1,2
32,No,Travel_Rarely,646,Research & Development,9 years ,4,Life Sciences,679,Low,Female,92,High,Junior Level,Research Scientist,Very High,Married,6322,1,Yes,12,Stanadard,Very High,80,1,6 years ,Good,6,4,0,5
30,No,Travel_Frequently,160,Research & Development,3 years ,3,Medical,680,High,Female,71,High,Entry Level,Research Scientist,High,Divorced,2083,1,No,20,High,High,80,1,1 years ,Better,1,0,0,0
53,No,Travel_Rarely,238,Sales,1 years ,1,Medical,682,Very High,Female,34,High,Junior Level,Sales Executive,Low,Single,8381,7,No,20,High,Very High,80,0,18 years ,Best,14,7,8,10
34,No,Travel_Rarely,1397,Research & Development,1 years ,5,Life Sciences,683,Medium,Male,42,High,Entry Level,Research Scientist,Very High,Married,2691,1,No,12,Stanadard,Very High,80,1,10 years ,Good,10,9,8,8
45,Yes,Travel_Frequently,306,Sales,26 years ,4,Life Sciences,684,Low,Female,100,High,Junior Level,Sales Executive,Low,Married,4286,2,No,14,Stanadard,Very High,80,2,5 years ,Better,1,1,0,0
26,No,Travel_Rarely,991,Research & Development,6 years ,3,Life Sciences,686,High,Female,71,High,Entry Level,Laboratory Technician,Very High,Married,2659,1,Yes,13,Stanadard,High,80,1,3 years ,Better,3,2,0,2
37,No,Travel_Rarely,482,Research & Development,3 years ,3,Other,689,High,Male,36,High,Senior Level,Manufacturing Director,High,Married,9434,1,No,15,Stanadard,High,80,1,10 years ,Better,10,7,7,8
29,No,Travel_Rarely,1176,Sales,3 years ,2,Medical,690,Medium,Female,62,High,Junior Level,Sales Executive,High,Married,5561,1,No,14,Stanadard,Low,80,1,6 years ,Good,6,0,1,2
35,No,Travel_Rarely,1017,Research & Development,6 years ,4,Life Sciences,691,Medium,Male,82,Low,Junior Level,Research Scientist,Very High,Single,6646,1,No,13,Stanadard,Medium,80,0,17 years ,Better,17,11,11,8
33,No,Travel_Frequently,1296,Research & Development,6 years ,3,Life Sciences,692,High,Male,30,High,Junior Level,Healthcare Representative,Very High,Divorced,7725,3,No,23,High,High,80,1,15 years ,Bad,13,11,4,7
54,No,Travel_Rarely,397,Human Resources,19 years ,4,Medical,698,High,Male,88,High,Senior Level,Human Resources,Medium,Married,10725,2,No,15,Stanadard,High,80,1,16 years ,Best,9,7,7,1
36,No,Travel_Rarely,913,Research & Development,9 years ,2,Medical,699,Medium,Male,48,Medium,Junior Level,Manufacturing Director,Medium,Divorced,8847,2,Yes,11,Stanadard,High,80,1,13 years ,Better,3,2,0,2
27,No,Travel_Rarely,1115,Research & Development,3 years ,4,Medical,700,Low,Male,54,Medium,Entry Level,Research Scientist,Very High,Single,2045,0,No,13,Stanadard,Very High,80,0,5 years ,Better,4,2,1,1
20,Yes,Travel_Rarely,1362,Research & Development,10 years ,1,Medical,701,Very High,Male,32,High,Entry Level,Research Scientist,High,Single,1009,1,Yes,11,Stanadard,Very High,80,0,1 years ,Better,1,0,1,1
33,Yes,Travel_Frequently,1076,Research & Development,3 years ,3,Life Sciences,702,Low,Male,70,High,Entry Level,Research Scientist,Low,Single,3348,1,Yes,11,Stanadard,Low,80,0,10 years ,Better,10,8,9,7
35,No,Non-Travel,727,Research & Development,3 years ,3,Life Sciences,704,High,Male,41,Medium,Entry Level,Laboratory Technician,High,Married,1281,1,No,18,Stanadard,High,80,2,1 years ,Better,1,0,0,0
23,No,Travel_Rarely,885,Research & Development,4 years ,3,Medical,705,Low,Male,58,Very High,Entry Level,Research Scientist,Low,Married,2819,2,No,16,Stanadard,Low,80,1,5 years ,Best,3,2,0,2
25,No,Travel_Rarely,810,Sales,8 years ,3,Life Sciences,707,Very High,Male,57,Very High,Junior Level,Sales Executive,Medium,Married,4851,0,No,22,High,High,80,1,4 years ,Better,3,2,1,2
38,No,Travel_Rarely,243,Sales,7 years ,4,Marketing,709,Very High,Female,46,Medium,Junior Level,Sales Executive,Very High,Single,4028,0,No,20,High,Low,80,0,8 years ,Better,7,7,0,5
29,No,Travel_Frequently,806,Research & Development,1 years ,4,Life Sciences,710,Medium,Male,76,Low,Entry Level,Research Scientist,Very High,Divorced,2720,1,No,18,Stanadard,Very High,80,1,10 years ,Better,10,7,2,8
48,No,Travel_Rarely,817,Sales,2 years ,1,Marketing,712,Medium,Male,56,Very High,Junior Level,Sales Executive,Medium,Married,8120,3,No,12,Stanadard,Very High,80,0,12 years ,Better,2,2,2,2
27,No,Travel_Frequently,1410,Sales,3 years ,1,Medical,714,Very High,Female,71,Very High,Junior Level,Sales Executive,Very High,Divorced,4647,1,Yes,20,High,Medium,80,2,6 years ,Better,6,5,0,4
37,No,Travel_Rarely,1225,Research & Development,10 years ,2,Life Sciences,715,Very High,Male,80,Very High,Entry Level,Research Scientist,Very High,Single,4680,3,No,17,Stanadard,Low,80,0,4 years ,Better,1,0,0,0
50,No,Travel_Rarely,1207,Research & Development,28 years ,1,Medical,716,Very High,Male,74,Very High,Entry Level,Laboratory Technician,High,Married,3221,1,Yes,11,Stanadard,High,80,3,20 years ,Better,20,8,3,8
34,No,Travel_Rarely,1442,Research & Development,9 years ,3,Medical,717,Very High,Female,46,Medium,Senior Level,Healthcare Representative,Medium,Single,8621,1,No,14,Stanadard,Medium,80,0,9 years ,Best,8,7,7,7
24,Yes,Travel_Rarely,693,Sales,3 years ,2,Life Sciences,720,Low,Female,65,High,Junior Level,Sales Executive,High,Single,4577,9,No,14,Stanadard,Low,80,0,4 years ,Better,2,2,2,0
39,No,Travel_Rarely,408,Research & Development,2 years ,4,Technical Degree,721,Very High,Female,80,Medium,Junior Level,Healthcare Representative,High,Single,4553,1,No,11,Stanadard,Low,80,0,20 years ,Better,20,7,11,10
32,No,Travel_Rarely,929,Sales,10 years ,3,Marketing,722,Very High,Male,55,High,Junior Level,Sales Executive,Very High,Single,5396,1,No,12,Stanadard,Very High,80,0,10 years ,Good,10,7,0,8
50,Yes,Travel_Frequently,562,Sales,8 years ,2,Technical Degree,723,Medium,Male,50,High,Junior Level,Sales Executive,High,Married,6796,3,Yes,14,Stanadard,Low,80,1,18 years ,Better,4,3,1,3
38,No,Travel_Rarely,827,Research & Development,1 years ,4,Life Sciences,724,Medium,Female,33,Very High,Junior Level,Healthcare Representative,Very High,Single,7625,0,No,13,Stanadard,High,80,0,10 years ,Good,9,7,1,8
27,No,Travel_Rarely,608,Research & Development,1 years ,2,Life Sciences,725,High,Female,68,High,Senior Level,Manufacturing Director,Low,Married,7412,1,No,11,Stanadard,Very High,80,0,9 years ,Better,9,7,0,7
32,No,Travel_Rarely,1018,Research & Development,3 years ,2,Life Sciences,727,High,Female,39,High,Senior Level,Research Director,Very High,Single,11159,3,No,15,Stanadard,Very High,80,0,10 years ,Better,7,7,7,7
47,No,Travel_Rarely,703,Sales,14 years ,4,Marketing,728,Very High,Male,42,High,Junior Level,Sales Executive,Low,Single,4960,2,No,12,Stanadard,Very High,80,0,20 years ,Better,7,7,1,7
40,No,Travel_Frequently,580,Sales,5 years ,4,Life Sciences,729,Very High,Male,48,Medium,Senior Level,Sales Executive,Low,Married,10475,5,Yes,21,High,High,80,1,20 years ,Better,18,13,1,12
53,No,Travel_Rarely,970,Research & Development,7 years ,3,Life Sciences,730,High,Male,59,Very High,Lead Level,Research Director,High,Married,14814,3,No,19,Stanadard,High,80,0,32 years ,Better,5,1,1,3
41,No,Travel_Rarely,427,Human Resources,10 years ,4,Human Resources,731,Medium,Male,73,Medium,Director Level,Manager,Very High,Divorced,19141,3,No,15,Stanadard,Medium,80,3,23 years ,Good,21,6,12,6
60,No,Travel_Rarely,1179,Sales,16 years ,4,Marketing,732,Low,Male,84,High,Junior Level,Sales Executive,Low,Single,5405,8,No,14,Stanadard,Very High,80,0,10 years ,Better,2,2,2,2
27,No,Travel_Frequently,294,Research & Development,10 years ,2,Life Sciences,733,Very High,Male,32,High,Senior Level,Manufacturing Director,Low,Divorced,8793,1,No,21,High,High,80,2,9 years ,Good,9,7,1,7
41,No,Travel_Rarely,314,Human Resources,1 years ,3,Human Resources,734,Very High,Male,59,Medium,Director Level,Manager,High,Married,19189,1,No,12,Stanadard,Medium,80,1,22 years ,Better,22,7,2,10
50,No,Travel_Rarely,316,Sales,8 years ,4,Marketing,738,Very High,Male,54,High,Entry Level,Sales Representative,Medium,Married,3875,7,No,15,Stanadard,Very High,80,1,4 years ,Better,2,2,2,2
28,Yes,Travel_Rarely,654,Research & Development,1 years ,2,Life Sciences,741,Low,Female,67,Low,Entry Level,Research Scientist,Medium,Single,2216,7,Yes,13,Stanadard,Very High,80,0,10 years ,Better,7,7,3,7
36,No,Non-Travel,427,Research & Development,8 years ,3,Life Sciences,742,Low,Female,63,Very High,Senior Level,Research Director,Low,Married,11713,9,No,14,Stanadard,Low,80,1,10 years ,Better,8,7,0,5
